Wavelengths,Alexa488,Alexa514,Atto532,Atto550,RRX,TRX,Atto594,Atto620,Atto647,Atto655
1,0.049676719,0.015828213,0.016894596,0.019134611,0.033777247,0.018204842,0.011032344,0.020807616,0.012486006,0.019491107
2,0.369214247,0.034828148,0.018402835,0.037447849,0.089111878,0.023557293,0.014792342,0.018833762,0.011184258,0.033057009
3,0.821625866,0.088024369,0.025452563,0.057938376,0.124036502,0.029598376,0.018975085,0.02652983,0.015788186,0.042274602
4,1,0.260638365,0.043794444,0.068331468,0.153349587,0.034159578,0.02325971,0.028660172,0.017912392,0.049407626
5,0.889267447,0.644958598,0.138762081,0.081148091,0.167151508,0.040028657,0.027750016,0.032894836,0.01981499,0.055464025
6,0.681360375,0.998871567,0.46227907,0.09175867,0.184267576,0.040944587,0.028157107,0.029539577,0.018906352,0.057858392
7,0.472340285,1,0.906012243,0.148130262,0.182686789,0.043213405,0.027108663,0.02928135,0.018499511,0.054592843
8,0.349511403,0.799528122,1,0.31656561,0.204204606,0.042382342,0.029401259,0.027864013,0.017563576,0.054936515
9,0.2624277,0.592081839,0.760201797,0.704081957,0.29030767,0.042034137,0.029300647,0.025753037,0.015510158,0.054893273
10,0.189154978,0.430849844,0.497293067,1,0.634756761,0.044739415,0.027367698,0.023407329,0.015691542,0.049822113
11,0.101932253,0.264326573,0.248139143,0.687242274,0.850527133,0.055981315,0.026716601,0.022465191,0.01359023,0.037653636
12,0.004531675,0.011574544,0.012185835,0.024650034,0.03300162,0.011960604,0.007063524,0.008206695,0.0050116,0.006237504
13,0.00637367,0.019210276,0.020341405,0.037470718,0.119400973,0.077881025,0.041899735,0.010702511,0.004603568,0.008747428
14,0.047659939,0.155861033,0.150222763,0.309170411,1,0.95798835,0.580897277,0.072854926,0.019792344,0.055364371
15,0.037550336,0.12008822,0.105220283,0.255796361,0.699306303,1,0.949990466,0.200124759,0.02526942,0.059067845
16,0.023778631,0.08619394,0.067004991,0.198383316,0.473182124,0.719136758,1,0.480675551,0.039483975,0.055795628
17,0.01862462,0.064472461,0.049078773,0.159547821,0.3829378,0.481110916,0.877535797,0.844935312,0.119052414,0.063783431
18,0.016346879,0.055484669,0.038374386,0.118225791,0.326393331,0.309973638,0.62569093,1,0.385143607,0.096968
19,0.011199138,0.039441107,0.028084593,0.0844339,0.274253483,0.223410518,0.437716683,0.928101622,0.7746104,0.181242746
20,0.011069164,0.033083193,0.022932234,0.062875023,0.217952828,0.173857766,0.303109357,0.72479218,1,0.420284406
21,0.007059582,0.022454995,0.016128278,0.046667875,0.15134236,0.14000808,0.225312499,0.504257632,0.895272046,0.775798008
22,0.009358349,0.021877056,0.01711516,0.034576771,0.107677736,0.11655171,0.170454466,0.346526276,0.572604204,1
23,0.004661627,0.012810449,0.011427624,0.024366915,0.071270209,0.079139383,0.128060394,0.223839189,0.338668418,0.869566039
